"지역","날짜","토마토","딸기"
"서울","06월 22일",2420,6050
"부산","06월 22일",2400,6000
"대구","06월 22일",2600,6500
"광주","06월 22일",2540,6350
"대전","06월 22일",2120,5300
"서울","06월 23일",2420,6050
"부산","06월 23일",2400,6000
"대구","06월 23일",2600,6500
"광주","06월 23일",2540,6350
"대전","06월 23일",2200,5500
